root_id,root_name,id,name,mimeType,parent_id,path,size,modifiedTime,status,dest_id,error,last_attempt,retries,local_path,root_dest_id,drive_id
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1cYQ7aOe-BTKQS3hrgklyX059LxnhpKWU,8 клас_урок 3 _презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1Pd4cXXGRFF7zLe95aYyFPHUTriDAQ3zU,8 клас_урок 3 _презентація.pptx,74965524,2025-10-01T23:59:59.000Z,done,1WWeizVHrrTF7HMZ6pKbF223b5OWIExdJ,,2025-10-23T17:50:35+00:00Z,2,MOVA\8 клас_урок 3 _презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1UvdC3_pdF1a8KW0e1iV6y2cfjfSFejTN,8 клас_урок 3_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1Pd4cXXGRFF7zLe95aYyFPHUTriDAQ3zU,8 клас_урок 3_конспект.docx,2128421,2025-10-01T23:59:46.000Z,done,1JMkO9DU17Yi6Db-E4kRQjYA7T6xTzJKC,,2025-10-23T17:50:41+00:00Z,1,MOVA\8 клас_урок 3_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1V8qz0YnEoUrMjnNq0nERwT9U-dmN3k7N,8 клас_урок 7_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1SaIGdmH0vnv4znehO5inSu2BEfMn2Fo5,8 клас_урок 7_презентація.pptx,34944609,2025-10-02T00:01:03.000Z,done,1M56okGiK5WtkRgkKCQTX9Gn6oAbDMy-O,,2025-10-23T17:50:47+00:00Z,2,MOVA\8 клас_урок 7_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1FHZzO2qzYcrnR_u2eLnua4hCttkL7QlU,8 клас_урок 7_ конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1SaIGdmH0vnv4znehO5inSu2BEfMn2Fo5,8 клас_урок 7_ конспект.docx,1206935,2025-10-02T00:00:53.000Z,done,1L1_dwjjZYNdHQn8zL9Hd5J6nq2NuRAEw,,2025-10-23T17:50:44+00:00Z,1,MOVA\8 клас_урок 7_ конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1oES1O0HCe4U9Sk45jotV246EkS_Dg938,Урок 7,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 7,,2025-10-02T00:02:09.575Z,done,11w8eXs7kk-1ZqLrL5Vb89VL1vpKQRHY8,,2025-10-23T17:29:36+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1cEUp3PP9Xxj-L734K_wqPRVUj99cNcW1,Урок 3,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 3,,2025-10-02T00:02:04.124Z,done,10KEn4q8TZLM7MGAhwqlDvnltRB4E4Cim,,2025-10-23T17:29:29+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1dKC2ysK_wUjjdzzZwcQ_0yLvZZjki5OD,Урок 2,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 2,,2025-10-02T00:01:59.432Z,done,1JX0p0FXxjP48c3bGeis41w6igdbg5FSx,,2025-10-23T17:29:23+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,Урок 1,application/vnd.google-apps.folder,1mBTzztfyDPu_R7ExqclSfuaNUmf1FkqK,Урок 1,,2025-10-02T00:01:54.227Z,done,1VOwbe0qGZ2__R5zKjCaOMOXQ2_tmZUAp,,2025-10-23T17:29:17+00:00Z,0,,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1ShDk_trCsvbXuMx026u5mOkrlvVHvI41,9 клас_урок 1_презентація.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,9 клас_урок 1_презентація.pptx,12963305,2025-10-02T00:02:31.000Z,done,1PqWMz05uFYvh1akJrEwZs_5Tp3DqxfXs,,2025-10-23T17:50:57+00:00Z,2,MOVA\9 клас_урок 1_презентація.pptx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
1xy3NtAtHnEdleB9sypj3_WCUUFuhBh3V,Українська мова,1Zazhhk2tKACqOi1WEvGJ3rlq477n_Hfp,9 клас_урок 1_конспект.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1ynx7fy2KfterNdnKBpnvhJL_NxnFzIyu,9 клас_урок 1_конспект.docx,4387362,2025-10-02T00:02:25.000Z,done,10jWIjg5W6XRUyEF_2QZQo1haZMb3SQ7J,,2025-10-23T17:50:53+00:00Z,1,MOVA\9 клас_урок 1_конспект.docx.pdf,1Yd4EDx8t95HbEB0dqOwvwgpNWEaFO-eL,0ANqgtgU9ZamEUk9PVA
